,January,February,March,April,May,June,July,August,September,October,November,December
Number of Landing,35772,34530,37548,38527,41050,38727,43614,44947,42512,39680,33253,33871
Available Seat Km ('000),13202105.04,12482188.19,13734362.48,13772679.67,14619999.36,14014718.53,15868567.41,16673539.43,15830278.88,14831857.42,12218138.35,12843362.66
Revenue Passenger Km ('000),9741645.757,8999913.326,10322604.12,10101899.03,10874981.71,10249603.77,11646762.81,13112016.42,12004573.79,11089334.22,9066136.118,9605241.222
Passenger Load Factor (%),0.737885794,0.721020481,0.751589609,0.733473752,0.743842831,0.731345674,0.733951749,0.786396702,0.758329899,0.747669958,0.742022709,0.747875885
Passengers Carried,4701288,4490297,4980960,5181838,5671795,5037231,5793533,6466933,5962514,5499482,4490938,4481806
Cargo and Mail (Tons),58869.202,64028.236,70687.888,67306.452,71799.679,76967.327,70433.455,78739.794,76922.589,78957.378,76573.292,84943.139
Km Flown ('000),73095.472,68606.887,75132.012,74903.608,79162.29,75858.155,84051.353,87378.433,83012.736,78965.729,67381.3,70578.919
Int-to-Int Transfer Passengers Carried,1615473,1427789,1751576,1677268,1730845,1693053,1939503,2258827,1966182,1831585,1426094,1632845
