,January,February,March,April,May,June,July,August,September,October,November,December
Number of Landing,31421,31039,35056,38374,40268,40619,46181,47321,44499,41009,36226,37539
Available Seat Km ('000),12154973.6,11272684.24,12983393.06,14266187.74,14910313.85,15028250.18,16599163.54,17114802.44,16137486.89,15161144.34,13369696.31,14074852.68
Revenue Passenger Km ('000),8811954.022,8261850.472,9875955.916,11291797.08,11575731.28,11486134.1,13923242.98,14439836.14,13148544.12,12282427.28,10626058.73,11222987.41
Passenger Load Factor (%),0.724966941,0.732908888,0.760660628,0.791507675,0.776357318,0.764302827,0.838791843,0.843704517,0.814782637,0.810125345,0.794786844,0.797378677
Passengers Carried,4160401,4072553,4807783,5600873,5930939,5714276,7201508,7392851,6737051,6202986,5322038,5473481
Cargo and Mail (Tons),64582.27211,71544.65604,90892.24138,95342.75355,96848.23661,96858.71232,99539.13307,97085.9198,98684.91241,104866.9008,104022.4662,102428.9643
Km Flown ('000),65758.486,62720.441,71634.085,75952.678,78747.151,79477.802,88587.849,90589.371,85623.352,81669.786,73499.52,75675.791
Int-to-Int Transfer Passengers Carried,1363038,1301472,1613967,1968967,1816981,1863100,2136542,2219935,2026526,1949774,1679253,1730421
