,January,February,March,April,May,June,July,August,September,October,November,December
Number of Landing,32306,29565,32660,34152,35629,35953,36769,38740,36404,35811,32168,33219
Available Seat Km ('000),10435588.07,9459725.806,10532746.19,11015162.26,11539296.05,11637511.88,12099211.78,12515500.57,11909337.49,11984415.91,10881855.33,11319275.19
Revenue Passenger Km ('000),8000545.384,7310480.742,8350454.956,8756891.558,9189171.884,9453551.896,9463620.75,10464589.57,9672387.164,9332319.24,8177513.83,8615358.38
Passenger Load Factor (%),0.766659754,0.77280049,0.792808903,0.794985253,0.796337302,0.812334457,0.782168369,0.836130326,0.812168366,0.778704554,0.751481579,0.761122796
Passengers Carried,4038898,3795690,4259966,4541627,4726223,4893484,4767473,5421780,4953425,4788350,4192759,4295292
Cargo and Mail (Tons),48154.656,49060.987,59447.227,56546.104,58052.486,57229.234,50149.876,53181.91504,58579.322,57240.726,60926.582,59173.95
Km Flown ('000),62612.679,56627.233,63492.78,64816.663,67822.702,68090.084,70007.546,72154.148,68533.564,68833.084,63564.483,65882.848
Int-to-Int Transfer Passengers Carried,1117369,961636,1133260,1160566,1123392,1165075,1275816,1275393,1191650,1154205,1116555,1293756
